title,paiming,uri,lat,lng,recommend_price,hotel_address,hotel_star,hotel_city,hotel_section,price_range,avg_rating,comment_count,offical_img_uri,facility,room,agoda_price
朵麗絲的家,南投排名第 11 的超值住宿地點，共 995 家,https://www.tripadvisor.com.tw/Hotel_Review-g13808635-d12326985-Reviews-Doris_Home-Yuchi_Nantou.html,23.867979049682617,120.90975952148438,"NT$2,961",魚池鄉日月潭水社村中山路146巷20號,3.5,南投,魚池,"NT$3,048 - NT$4,996",5.0,612,https://media-cdn.tripadvisor.com/media/photo-s/0e/f7/56/3f/bathroom.jpg,"禁菸客房, 套房, 家庭房, 空調設施, 冰箱","免費停車, 免費高速上網 (WiFi), 免費網際網路, 無線網路, 公用無線網路, 免費早餐, 允許攜帶寵物 (可帶狗/寵物), 禁菸飯店, 網際網路",
日月潭山慕民宿,南投排名第 12 的超值住宿地點，共 995 家,https://www.tripadvisor.com.tw/Hotel_Review-g13808635-d10146468-Reviews-Sun_Moon_Inn-Yuchi_Nantou.html,23.867469787597656,120.90943908691406,"NT$3,021",魚池鄉日月潭水社村中山路216號,3.5,南投,魚池,"NT$3,456 - NT$5,059",5.0,462,https://media-cdn.tripadvisor.com/media/photo-s/0b/55/8e/4b/caption.jpg,"山景, 禁菸客房, 套房, 無過敏原客房, 空調設施, 書桌, 冰箱, 第四台/衛星電視, 家庭房, 遮光窗簾, 隔音室, 用餐區, 私人陽台, 座位區, 衣櫃/壁櫥, 瓶裝水, 衣架, 熨斗, 私人浴室, 電熱水壺, 平板電視, 加長床, 沙發床, 步入式淋浴間, 浴缸/淋浴間, 免費衛浴用品, 吹風機","免費停車, 免費高速上網 (WiFi), 免費早餐, 腳踏車租賃, 有兒童椅, 機場接送, 行李存放, 禮賓服務, 附近有免費私人停車場, 現場付費私人停車場, 附近有付費私人停車場, 路邊停車, 免費網際網路, 無線網路, 公用無線網路, 網際網路, 提供早餐, 免費提供茶, 兒童餐, 包車, 計程車服務, 禁菸飯店, 共用休息室/電視區, 急救箱, 雨傘, 快速辦理入住/退房, 私人辦理入住/退房",
日月潭勺光188,南投排名第 13 的超值住宿地點，共 995 家,https://www.tripadvisor.com.tw/Hotel_Review-g13808635-d10307772-Reviews-Shao_Guang_188-Yuchi_Nantou.html,23.867168426513672,120.91011047363281,"NT$3,450",魚池鄉中山路188號,3.0,南投,魚池,"NT$4,085 - NT$5,750",5.0,76,https://media-cdn.tripadvisor.com/media/photo-s/0b/cd/a9/b6/caption.jpg,"禁菸客房, 空調設施, 小廚房, 微波爐, 冰箱","免費停車, 停車, 免費高速上網 (WiFi), 免費網際網路, 免費早餐, 餐廳, 機場接送, 禁菸飯店, 無線網路, 公用無線網路, 網際網路, 提供早餐, 巴士接駁服務",
日月潭大淶閣,南投排名第 14 的超值住宿地點，共 995 家,https://www.tripadvisor.com.tw/Hotel_Review-g13808635-d1122710-Reviews-Hotel_Del_Lago-Yuchi_Nantou.html,23.865182876586914,120.91216278076172,"NT$3,375",魚池鄉日月潭中山路101號,4.0,南投,魚池,"NT$3,739 - NT$6,944",4.0,275,https://media-cdn.tripadvisor.com/media/photo-s/0f/41/57/d6/caption.jpg,"禁菸客房, 套房, 家庭房, 空調設施, 私人陽台, 冰箱, 平板電視","免費停車, 免費高速上網 (WiFi), 免費網際網路, 免費早餐, 會議設施, 宴會廳, 禁菸飯店, 洗衣服務, 無線網路, 公用無線網路, 網際網路, 餐廳, 自助式早餐, 會議室",
日月潭大飯店,南投排名第 15 的超值住宿地點，共 995 家,https://www.tripadvisor.com.tw/Hotel_Review-g13808635-d2140231-Reviews-Sun_Moon_Lake_Hotel-Yuchi_Nantou.html,23.8662109375,120.9029312133789,"NT$3,974",魚池鄉水社村中山路419號,4.0,南投,魚池,"NT$3,802 - NT$8,044",4.0,244,https://media-cdn.tripadvisor.com/media/photo-s/03/23/7d/9d/sun-moon-lake-hotel.jpg,"禁菸客房, 套房, 家庭房, 空調設施, 私人陽台, 客房服務, 冰箱, 平板電視","免費停車, 免費高速上網 (WiFi), 有健身房的健身中心, 浴缸, 免費早餐, 兒童活動 (適合兒童/家庭), 巴士接駁服務, 提供上網服務的商務中心, 免費網際網路, 無線網路, 公用無線網路, 網際網路, 酒吧/酒廊, 餐廳, 自助式早餐, 會議設施, 宴會廳, 會議室, Spa, 禁菸飯店, 乾洗服務, 洗衣服務",
清境天星山莊,南投排名第 16 的超值住宿地點，共 995 家,https://www.tripadvisor.com.tw/Hotel_Review-g13806822-d2084141-Reviews-Star_Villa-Ren_ai_Township_Nantou.html,24.049901962280273,121.15593719482422,"NT$2,204",大同村仁和路182號之3,,南投,仁愛鄉,"NT$2,294 - NT$5,090",4.0,144,https://media-cdn.tripadvisor.com/media/photo-s/0b/b0/72/44/star-villa.jpg,"禁菸客房, 家庭房","免費停車, 免費高速上網 (WiFi), 免費網際網路, 無線網路, 公用無線網路, 免費早餐, 屋頂露台, 禁菸飯店, 網際網路",
馥麗溫泉大飯店,南投排名第 17 的超值住宿地點，共 995 家,https://www.tripadvisor.com.tw/Hotel_Review-g13808635-d6561278-Reviews-Fuli_Hot_Spring_Resort-Yuchi_Nantou.html,23.868362426757812,120.90888214111328,"NT$4,205",魚池鄉水社村中山路250-2號,4.0,南投,魚池,"NT$4,022 - NT$11,186",4.0,133,https://media-cdn.tripadvisor.com/media/photo-s/11/cf/4e/42/getlstd-property-photo.jpg,"禁菸客房, 套房, 家庭房, 空調設施, 客房服務, 迷你吧, 冰箱, 平板電視","免費停車, 免費高速上網 (WiFi), 游泳池, 浴缸, 免費早餐, 兒童活動 (適合兒童/家庭), 提供上網服務的商務中心, 會議設施, 免費網際網路, 無線網路, 公用無線網路, 網際網路, 酒吧/酒廊, 餐廳, 提供早餐, 自助式早餐, 宴會廳, 會議室, Spa, 禮賓服務, 禁菸飯店","NT$4,187"
力麗儷山林會館-日月潭,南投排名第 18 的超值住宿地點，共 995 家,https://www.tripadvisor.com.tw/Hotel_Review-g13808635-d1066729-Reviews-The_Richforest_Hotel_Sun_Moon_Lake-Yuchi_Nantou.html,23.849464416503906,120.93144226074219,"NT$4,548",水秀街31號,3.5,南投,魚池,"NT$3,928 - NT$8,358",4.0,168,https://media-cdn.tripadvisor.com/media/photo-s/0d/39/13/31/caption.jpg,"禁菸客房, 家庭房, 空調設施, 私人陽台, 冰箱, 平板電視","免費停車, 免費高速上網 (WiFi), 免費網際網路, 游泳池, 有健身房的健身中心, 浴缸, 免費早餐, 禁菸飯店, 無線網路, 網際網路, 室內游泳池, 餐廳, 自助式早餐","NT$4,703"
日月潭晶澤會館,南投排名第 19 的超值住宿地點，共 995 家,https://www.tripadvisor.com.tw/Hotel_Review-g13808635-d1788092-Reviews-The_Crystal_Resort_Sun_Moon_Lake-Yuchi_Nantou.html,23.849170684814453,120.93058776855469,"NT$3,491",魚池鄉日月村水沙連街3號,5.0,南投,魚池,"NT$3,645 - NT$7,635",4.0,190,https://media-cdn.tripadvisor.com/media/photo-s/03/05/8a/53/caption.jpg,"禁菸客房, 家庭房, 空調設施, 私人陽台, 客房服務, 迷你吧, 冰箱","免費停車, 免費高速上網 (WiFi), 有健身房的健身中心, 浴缸, 免費早餐, 會議室, 禮賓服務, 禁菸飯店, 免費網際網路, 無線網路, 網際網路, 酒吧/酒廊, 餐廳, 自助式早餐, 洗衣服務, 自助式洗衣",
清境西雅圖璀璨雙城 ,南投排名第 20 的超值住宿地點，共 995 家,https://www.tripadvisor.com.tw/Hotel_Review-g13806822-d2247242-Reviews-Cingjing_Brilliant_Twins_of_Seattle-Ren_ai_Township_Nantou.html,24.037385940551758,121.14906311035156,"NT$1,461",仁愛鄉榮光巷39號 ,3.0,南投,仁愛鄉,"NT$1,508 - NT$5,090",4.5,190,https://media-cdn.tripadvisor.com/media/photo-s/0e/4c/f0/fb/caption.jpg,"禁菸客房, 套房, 家庭房","免費停車, 免費高速上網 (WiFi), 免費網際網路, 無線網路, 免費早餐, 餐廳, 巴士接駁服務, 禁菸飯店, 公用無線網路, 網際網路","NT$1,461"
日月潭湖悅民宿,南投排名第 21 的超值住宿地點，共 995 家,https://www.tripadvisor.com.tw/Hotel_Review-g13808635-d2247098-Reviews-Hu_Yue_Lakeview_B_B-Yuchi_Nantou.html,23.848920822143555,120.93020629882812,"NT$2,500",日月村義勇街113號,3.5,南投,魚池,"NT$2,796 - NT$4,964",4.5,64,https://media-cdn.tripadvisor.com/media/photo-s/17/6d/24/50/caption.jpg,"禁菸客房, 家庭房, 空調設施, 冰箱","免費停車, 免費高速上網 (WiFi), 免費網際網路, 無線網路, 免費早餐, 提供早餐, 自助式早餐, 禁菸飯店, 網際網路",
日月潭竹石園生態渡假會館,南投排名第 22 的超值住宿地點，共 995 家,https://www.tripadvisor.com.tw/Hotel_Review-g13808635-d6463574-Reviews-Sun_Moon_Lake_Bamboo_Rock_Garden-Yuchi_Nantou.html,23.872880935668945,120.91848754882812,"NT$2,605",魚池鄉水社村中山路8號,3.5,南投,魚池,"NT$2,765 - NT$6,724",4.5,61,https://media-cdn.tripadvisor.com/media/photo-s/0d/f6/a1/8a/photo1jpg.jpg,"禁菸客房, 套房, 家庭房","免費停車, 免費高速上網 (WiFi), 免費網際網路, 無線網路, 免費早餐, 餐廳, 兒童活動 (適合兒童/家庭), 巴士接駁服務, 公用無線網路, 網際網路",
明月湖品味湖畔旅店,南投排名第 23 的超值住宿地點，共 995 家,https://www.tripadvisor.com.tw/Hotel_Review-g13808635-d9852041-Reviews-Ming_Yue_Lakeview_Hotel-Yuchi_Nantou.html,23.849206924438477,120.93010711669922,"NT$3,186",魚池鄉(日月潭)日月村水沙連街11號,3.0,南投,魚池,"NT$3,079 - NT$5,342",5.0,41,https://media-cdn.tripadvisor.com/media/photo-s/0a/bd/5c/37/caption.jpg,,"免費高速上網 (WiFi), 網際網路, 餐廳",
日月潭天月水色精品民宿,南投排名第 24 的超值住宿地點，共 995 家,https://www.tripadvisor.com.tw/Hotel_Review-g13808635-d2388536-Reviews-Skylight_Bed_Breakfast-Yuchi_Nantou.html,23.848447799682617,120.93081665039062,"NT$1,839",魚池鄉日月村義勇街88號,3.0,南投,魚池,"NT$2,482 - NT$4,964",4.5,109,https://media-cdn.tripadvisor.com/media/photo-s/10/20/52/ee/family-room-2--v16751256.jpg,"禁菸客房, 套房, 家庭房, 空調設施, 冰箱","免費停車, 免費高速上網 (WiFi), 免費網際網路, 無線網路, 公用無線網路, 網際網路, 免費早餐, 禁菸飯店",
日月潭建成民宿,南投排名第 25 的超值住宿地點，共 995 家,https://www.tripadvisor.com.tw/Hotel_Review-g13808635-d4232275-Reviews-Sun_Moon_Lake_Jian_Cheng_Hotel-Yuchi_Nantou.html,23.86623191833496,120.91183471679688,"NT$1,191",魚池鄉日月潭中山路145號,3.0,南投,魚池,"NT$1,320 - NT$3,519",5.0,36,https://media-cdn.tripadvisor.com/media/photo-s/03/ef/f4/04/caption.jpg,"套房, 小廚房","免費高速上網 (WiFi), 免費網際網路, 無線網路, 網際網路, 免費早餐",
日月行館國際溫泉觀光酒店,南投排名第 26 的超值住宿地點，共 995 家,https://www.tripadvisor.com.tw/Hotel_Review-g13808635-d3385400-Reviews-The_Wen_Wan_Resort_Sun_Moon_Lake-Yuchi_Nantou.html,23.86359405517578,120.90898895263672,"NT$8,485",魚池鄉日月潭水社村中興路139號,5.0,南投,魚池,"NT$7,667 - NT$28,499",4.5,1220,https://media-cdn.tripadvisor.com/media/photo-s/0c/49/a3/3e/hot-spring-swimming-pool.jpg,"禁菸客房, 套房, 家庭房, 空調設施, 私人陽台, 客房服務, 冰箱, 平板電視, 保險箱","免費停車, 免費高速上網 (WiFi), 游泳池, 有健身房的健身中心, 免費早餐, 兒童活動 (適合兒童/家庭), 免費接駁或計程車服務, 提供上網服務的商務中心, 停車, 免費網際網路, 無線網路, 網際網路, 浴缸, 無邊際游泳池, 屋頂游泳池, 室外游泳池, 溫水游泳池, 酒吧/酒廊, 餐廳, 自助式早餐, 游泳池酒吧, 游泳池畔酒吧, 巴士接駁服務, 會議設施, 宴會廳, 會議室, Spa, 屋頂露台, 禮賓服務, 禁菸飯店, 管家服務, 乾洗服務, 洗衣服務","NT$8,485"
日月潭涵碧樓酒店,南投排名第 27 的超值住宿地點，共 995 家,https://www.tripadvisor.com.tw/Hotel_Review-g13808635-d301651-Reviews-The_Lalu_Sun_Moon_Lake-Yuchi_Nantou.html,23.862516403198242,120.9081802368164,"NT$12,667",魚池鄉水社村中興路142號,5.0,南投,魚池,"NT$14,485 - NT$29,881",4.5,502,https://media-cdn.tripadvisor.com/media/photo-s/0e/d4/d3/87/tea-house.jpg,"禁菸客房, 套房, 家庭房, 空調設施, 私人陽台, 客房服務, 迷你吧, 平板電視, 冰箱","免費停車, 免費高速上網 (WiFi), 游泳池, 有健身房的健身中心, 免費早餐, 巴士接駁服務, 會議設施, 宴會廳, 停車, 免費網際網路, 無線網路, 公用無線網路, 網際網路, 浴缸, 無邊際游泳池, 室外游泳池, 酒吧/酒廊, 餐廳, 提供早餐, 自助式早餐, 會議室, Spa, 禮賓服務, 禁菸飯店, 管家服務, 乾洗服務, 洗衣服務",
路殼民宿,南投排名第 28 的超值住宿地點，共 995 家,https://www.tripadvisor.com.tw/Hotel_Review-g13808635-d7690567-Reviews-Look_B_B-Yuchi_Nantou.html,23.881668090820312,120.94271850585938,"NT$3,710",魚池鄉大林村永川巷22-6號,3.5,南投,魚池,"NT$3,488 - NT$5,719",5.0,129,https://media-cdn.tripadvisor.com/media/photo-s/0b/b0/9d/01/look-b-b.jpg,"禁菸客房, 套房, 家庭房, 空調設施","免費停車, 免費高速上網 (WiFi), 免費網際網路, 無線網路, 網際網路, 免費早餐, 禁菸飯店","NT$3,710"
老英格蘭莊園 ,南投排名第 29 的超值住宿地點，共 995 家,https://www.tripadvisor.com.tw/Hotel_Review-g13806822-d2273558-Reviews-The_Old_England_Manor-Ren_ai_Township_Nantou.html,24.037776947021484,121.15863037109375,,仁愛鄉壽亭巷20-3號,4.5,南投,仁愛鄉,"NT$10,337 - NT$20,329",4.5,200,https://media-cdn.tripadvisor.com/media/photo-s/12/58/de/7b/exterior.jpg,"禁菸客房, 套房, 家庭房, 空調設施, 迷你吧, 冰箱","免費停車, 停車, 免費高速上網 (WiFi), 免費網際網路, 免費早餐, 禮賓服務, 禁菸飯店, 洗衣服務, 無線網路, 公用無線網路, 網際網路, 酒吧/酒廊, 餐廳, 自助式早餐","NT$11,515"
日月潭湖畔精緻旅店,南投排名第 30 的超值住宿地點，共 995 家,https://www.tripadvisor.com.tw/Hotel_Review-g13808635-d1020093-Reviews-SPA_Home_Sun_Moon_Lake_Lakeside_Hotel-Yuchi_Nantou.html,23.8653564453125,120.91255950927734,"NT$2,775",魚池鄉水社村中山路95號,3.5,南投,魚池,"NT$3,205 - NT$6,693",4.0,82,https://media-cdn.tripadvisor.com/media/photo-s/0f/e4/64/f7/double-classic--v16744355.jpg,"禁菸客房, 家庭房, 空調設施, 私人陽台, 冰箱","免費停車, 免費高速上網 (WiFi), 免費網際網路, 無線網路, 免費早餐, 餐廳, Spa, 禁菸飯店, 公用無線網路, 網際網路",
明琴清境山莊,南投排名第 31 的超值住宿地點，共 995 家,https://www.tripadvisor.com.tw/Hotel_Review-g13806822-d2193438-Reviews-Ming_Ging_Farm-Ren_ai_Township_Nantou.html,24.037010192871094,121.15060424804688,"NT$2,424",仁愛鄉大同村榮光巷43號,3.5,南投,仁愛鄉,"NT$2,514 - NT$8,421",4.0,89,https://media-cdn.tripadvisor.com/media/photo-s/0d/f3/27/b5/ming-ging-farm.jpg,"禁菸客房, 家庭房, 空調設施, 冰箱","免費停車, 免費高速上網 (WiFi), 免費網際網路, 無線網路, 免費早餐, 餐廳, 巴士接駁服務, 禁菸飯店, 公用無線網路, 網際網路, 自助式早餐","NT$2,424"
EG住宿南投,南投排名第 32 的超值住宿地點，共 995 家,https://www.tripadvisor.com.tw/Hotel_Review-g13806757-d10110866-Reviews-EG_Hostel-Nantou_City_Nantou.html,23.906496047973633,120.68804931640625,"NT$1,022",南投市大同街1巷12弄10號 Carrefour Market,,南投,南投市,"NT$1,163 - NT$1,980",4.5,45,https://media-cdn.tripadvisor.com/media/photo-s/0d/d6/d0/03/eg.jpg,"禁菸客房, 套房, 家庭房, 有吸菸房, 空調設施, 客房服務, 微波爐, 冰箱","免費停車, 免費高速上網 (WiFi), 兒童活動 (適合兒童/家庭), 提供上網服務的商務中心, 會議室, 禮賓服務, 禁菸飯店, 自助式洗衣, 免費網際網路, 無線網路, 公用無線網路, 網際網路",
悠森境渡假村,南投排名第 33 的超值住宿地點，共 995 家,https://www.tripadvisor.com.tw/Hotel_Review-g13808635-d7894226-Reviews-Yo_Shen_Jing_Resort-Yuchi_Nantou.html,23.871986389160156,120.94398498535156,"NT$2,326",魚池鄉大林村金天巷42號,3.5,南投,魚池,"NT$2,734 - NT$7,133",4.5,28,https://media-cdn.tripadvisor.com/media/photo-s/0e/60/9a/bc/caption.jpg,"禁菸客房, 套房, 家庭房, 空調設施, 冰箱","免費停車, 免費高速上網 (WiFi), 餐廳, 巴士接駁服務, 會議設施, 會議室, 禮賓服務, 自助式洗衣, 免費網際網路, 無線網路, 網際網路, 提供早餐",
力麗儷山林會館-日月潭,南投排名第 34 的超值住宿地點，共 995 家,https://www.tripadvisor.com.tw/Hotel_Review-g13808635-d1066729-Reviews-The_Richforest_Hotel_Sun_Moon_Lake-Yuchi_Nantou.html,23.849464416503906,120.93144226074219,"NT$4,548",水秀街31號,3.5,南投,魚池,"NT$3,928 - NT$8,358",4.0,168,https://media-cdn.tripadvisor.com/media/photo-s/0d/39/13/31/caption.jpg,"禁菸客房, 家庭房, 空調設施, 私人陽台, 冰箱, 平板電視","免費停車, 免費高速上網 (WiFi), 免費網際網路, 游泳池, 有健身房的健身中心, 浴缸, 免費早餐, 禁菸飯店, 無線網路, 網際網路, 室內游泳池, 餐廳, 自助式早餐","NT$4,703"
美真舘,南投排名第 35 的超值住宿地點，共 995 家,https://www.tripadvisor.com.tw/Hotel_Review-g13808635-d3524418-Reviews-Mei_Jen_House-Yuchi_Nantou.html,23.865985870361328,120.91197967529297,"NT$1,245",魚池鄉日月潭中山路125號,,南投,魚池,"NT$1,445 - NT$2,357",4.5,39,https://media-cdn.tripadvisor.com/media/photo-s/11/bd/eb/b8/caption.jpg,"禁菸客房, 套房, 家庭房, 空調設施, 冰箱","免費高速上網 (WiFi), 免費網際網路, 無線網路, 網際網路, 免費早餐, 禁菸飯店",
楓樺台一渡假村,南投排名第 36 的超值住宿地點，共 995 家,https://www.tripadvisor.com.tw/Hotel_Review-g13806800-d1986852-Reviews-Red_Maple_Boutique_Hotel-Puli_Nantou.html,23.979032516479492,121.00633239746094,"NT$3,497",埔里鎮中山路一段176號,4.0,南投,埔里,"NT$4,148 - NT$6,818",4.5,59,https://media-cdn.tripadvisor.com/media/photo-s/10/86/c2/51/caption.jpg,"禁菸客房, 套房, 家庭房, 空調設施, 客房服務","免費停車, 免費高速上網 (WiFi), 免費早餐, 機場接送, 提供上網服務的商務中心, Spa, 禮賓服務, 禁菸飯店, 免費網際網路, 無線網路, 公用無線網路, 網際網路, 酒吧/酒廊, 餐廳, 巴士接駁服務",
溪頭孟宗山莊大飯店,南投排名第 37 的超值住宿地點，共 995 家,https://www.tripadvisor.com.tw/Hotel_Review-g13806711-d2613414-Reviews-Ginkgo_Hotel-Lugu_Nantou.html,23.676454544067383,120.79412078857422,"NT$2,979",鹿谷鄉溪頭興產路3號,3.5,南投,鹿谷,"NT$2,608 - NT$4,525",4.5,26,https://media-cdn.tripadvisor.com/media/photo-s/11/0e/7c/1a/owl-bar.jpg,"禁菸客房, 家庭房, 空調設施, 客房服務, 冰箱","免費高速上網 (WiFi), 酒吧/酒廊, 兒童活動 (適合兒童/家庭), 巴士接駁服務, 會議設施, 宴會廳, 禮賓服務, 禁菸飯店, 免費網際網路, 無線網路, 公用無線網路, 網際網路, 餐廳, 提供早餐, 會議室",
